"date","id_CH","abundance","unit","depth"
"1985-03-11",6517,36000,"indv./m2","0_30m"
"1985-03-11",6518,13200,"indv./m2","0_30m"
"1985-03-11",6552,18000,"indv./m2","0_30m"
"1985-03-11",6902,93000,"indv./m2","0_30m"
"1985-03-11",6904,10500,"indv./m2","0_30m"
"1985-03-11",6905,21900,"indv./m2","0_30m"
"1985-03-11",6906,9900,"indv./m2","0_30m"
"1985-03-11",6914,16500,"indv./m2","0_30m"
"1985-03-11",7002,15300,"indv./m2","0_30m"
"1985-03-11",7003,4800,"indv./m2","0_30m"
"1985-03-11",7004,11100,"indv./m2","0_30m"
"1985-03-11",7005,3300,"indv./m2","0_30m"
"1985-03-11",7006,390000,"indv./m2","0_30m"
"1985-03-11",7007,36000,"indv./m2","0_30m"
"1985-03-11",7022,600000,"indv./m2","0_30m"
"1985-03-11",7027,14100,"indv./m2","0_30m"
"1985-04-09",6517,72000,"indv./m2","0_30m"
"1985-04-09",6518,12000,"indv./m2","0_30m"
"1985-04-09",6552,10800,"indv./m2","0_30m"
"1985-04-09",6902,120000,"indv./m2","0_30m"
"1985-04-09",6904,6900,"indv./m2","0_30m"
"1985-04-09",6905,15900,"indv./m2","0_30m"
"1985-04-09",6906,12900,"indv./m2","0_30m"
"1985-04-09",6914,15000,"indv./m2","0_30m"
"1985-04-09",7002,30000,"indv./m2","0_30m"
"1985-04-09",7003,3000,"indv./m2","0_30m"
"1985-04-09",7004,249000,"indv./m2","0_30m"
"1985-04-09",7005,72000,"indv./m2","0_30m"
"1985-04-09",7006,282000,"indv./m2","0_30m"
"1985-04-09",7007,66000,"indv./m2","0_30m"
"1985-04-09",7022,780000,"indv./m2","0_30m"
"1985-04-09",7023,4800,"indv./m2","0_30m"
"1985-04-09",7024,45000,"indv./m2","0_30m"
"1985-04-22",6517,75000,"indv./m2","0_30m"
"1985-04-22",6518,12900,"indv./m2","0_30m"
"1985-04-22",6552,9000,"indv./m2","0_30m"
"1985-04-22",6902,102000,"indv./m2","0_30m"
"1985-04-22",6904,24900,"indv./m2","0_30m"
"1985-04-22",6905,15000,"indv./m2","0_30m"
"1985-04-22",6906,19800,"indv./m2","0_30m"
"1985-04-22",6914,15300,"indv./m2","0_30m"
"1985-04-22",7002,9000,"indv./m2","0_30m"
"1985-04-22",7003,1980,"indv./m2","0_30m"
"1985-04-22",7004,183000,"indv./m2","0_30m"
"1985-04-22",7005,42000,"indv./m2","0_30m"
"1985-04-22",7006,360000,"indv./m2","0_30m"
"1985-04-22",7007,51000,"indv./m2","0_30m"
"1985-04-22",7022,1590000,"indv./m2","0_30m"
"1985-04-22",7023,990,"indv./m2","0_30m"
"1985-04-22",7024,42000,"indv./m2","0_30m"
"1985-05-06",6517,195000,"indv./m2","0_30m"
"1985-05-06",6518,36000,"indv./m2","0_30m"
"1985-05-06",6552,21900,"indv./m2","0_30m"
"1985-05-06",6902,96000,"indv./m2","0_30m"
"1985-05-06",6904,21900,"indv./m2","0_30m"
"1985-05-06",6905,30000,"indv./m2","0_30m"
"1985-05-06",6906,21900,"indv./m2","0_30m"
"1985-05-06",6914,48000,"indv./m2","0_30m"
"1985-05-06",7002,15900,"indv./m2","0_30m"
"1985-05-06",7003,19800,"indv./m2","0_30m"
"1985-05-06",7004,81000,"indv./m2","0_30m"
"1985-05-06",7005,33000,"indv./m2","0_30m"
"1985-05-06",7006,1170000,"indv./m2","0_30m"
"1985-05-06",7007,45000,"indv./m2","0_30m"
"1985-05-06",7022,2280000,"indv./m2","0_30m"
"1985-05-06",7023,9000,"indv./m2","0_30m"
"1985-05-06",7024,36000,"indv./m2","0_30m"
"1985-05-13",6517,144000,"indv./m2","0_30m"
"1985-05-13",6518,24000,"indv./m2","0_30m"
"1985-05-13",6552,21000,"indv./m2","0_30m"
"1985-05-13",6902,39000,"indv./m2","0_30m"
"1985-05-13",6904,15000,"indv./m2","0_30m"
"1985-05-13",6905,18000,"indv./m2","0_30m"
"1985-05-13",6906,13800,"indv./m2","0_30m"
"1985-05-13",6914,21000,"indv./m2","0_30m"
"1985-05-13",7002,24000,"indv./m2","0_30m"
"1985-05-13",7004,42000,"indv./m2","0_30m"
"1985-05-13",7005,15000,"indv./m2","0_30m"
"1985-05-13",7006,2340000,"indv./m2","0_30m"
"1985-05-13",7007,69000,"indv./m2","0_30m"
"1985-05-13",7022,2670000,"indv./m2","0_30m"
"1985-05-13",7023,6000,"indv./m2","0_30m"
"1985-05-13",7024,45000,"indv./m2","0_30m"
"1985-05-20",6517,210000,"indv./m2","0_30m"
"1985-05-20",6518,84000,"indv./m2","0_30m"
"1985-05-20",6527,1980,"indv./m2","0_30m"
"1985-05-20",6552,78000,"indv./m2","0_30m"
"1985-05-20",6902,48000,"indv./m2","0_30m"
"1985-05-20",6904,12000,"indv./m2","0_30m"
"1985-05-20",6905,48000,"indv./m2","0_30m"
"1985-05-20",6906,15900,"indv./m2","0_30m"
"1985-05-20",6914,19800,"indv./m2","0_30m"
"1985-05-20",7002,24000,"indv./m2","0_30m"
"1985-05-20",7004,33000,"indv./m2","0_30m"
"1985-05-20",7005,18000,"indv./m2","0_30m"
"1985-05-20",7006,1020000,"indv./m2","0_30m"
"1985-05-20",7007,90000,"indv./m2","0_30m"
"1985-05-20",7022,1770000,"indv./m2","0_30m"
"1985-05-20",7023,12000,"indv./m2","0_30m"
"1985-05-20",7024,36000,"indv./m2","0_30m"
"1985-05-28",6517,540000,"indv./m2","0_30m"
"1985-05-28",6518,258000,"indv./m2","0_30m"
"1985-05-28",6527,7800,"indv./m2","0_30m"
"1985-05-28",6552,222000,"indv./m2","0_30m"
