"date","id_CH","abundance","unit","depth"
"1985-04-15",6517,5330,"indv./m2","0_43m"
"1985-04-15",6518,1300,"indv./m2","0_43m"
"1985-04-15",6552,5330,"indv./m2","0_43m"
"1985-04-15",6902,32900,"indv./m2","0_43m"
"1985-04-15",6904,29700,"indv./m2","0_43m"
"1985-04-15",6905,17050,"indv./m2","0_43m"
"1985-04-15",6906,8180,"indv./m2","0_43m"
"1985-04-15",6914,29600,"indv./m2","0_43m"
"1985-04-15",7002,85200,"indv./m2","0_43m"
"1985-04-15",7003,11270,"indv./m2","0_43m"
"1985-04-15",7004,15260,"indv./m2","0_43m"
"1985-04-15",7005,8600,"indv./m2","0_43m"
"1985-04-15",7006,104700,"indv./m2","0_43m"
"1985-04-15",7007,117500,"indv./m2","0_43m"
"1985-04-15",7009,2673,"indv./m2","0_43m"
"1985-04-15",7010,17230,"indv./m2","0_43m"
"1985-04-15",7022,708000,"indv./m2","0_43m"
"1985-04-15",7023,64100,"indv./m2","0_43m"
"1985-04-15",7024,25100,"indv./m2","0_43m"
"1985-04-15",7027,22430,"indv./m2","0_43m"
"1985-04-15",7701,600,"indv./m2","0_43m"
"1985-04-29",6517,5340,"indv./m2","0_43m"
"1985-04-29",6518,9250,"indv./m2","0_43m"
"1985-04-29",6552,9380,"indv./m2","0_43m"
"1985-04-29",6902,35400,"indv./m2","0_43m"
"1985-04-29",6904,28800,"indv./m2","0_43m"
"1985-04-29",6905,23000,"indv./m2","0_43m"
"1985-04-29",6906,10920,"indv./m2","0_43m"
"1985-04-29",6914,28900,"indv./m2","0_43m"
"1985-04-29",7002,99500,"indv./m2","0_43m"
"1985-04-29",7003,16970,"indv./m2","0_43m"
"1985-04-29",7004,21600,"indv./m2","0_43m"
"1985-04-29",7005,14680,"indv./m2","0_43m"
"1985-04-29",7006,158800,"indv./m2","0_43m"
"1985-04-29",7007,180000,"indv./m2","0_43m"
"1985-04-29",7009,98500,"indv./m2","0_43m"
"1985-04-29",7010,17530,"indv./m2","0_43m"
"1985-04-29",7022,701000,"indv./m2","0_43m"
"1985-04-29",7023,75800,"indv./m2","0_43m"
"1985-04-29",7024,30900,"indv./m2","0_43m"
"1985-04-29",7027,43890,"indv./m2","0_43m"
"1985-04-29",7701,1230,"indv./m2","0_43m"
"1985-05-13",6003,2990,"indv./m2","0_43m"
"1985-05-13",6517,20160,"indv./m2","0_43m"
"1985-05-13",6518,4700,"indv./m2","0_43m"
"1985-05-13",6552,6390,"indv./m2","0_43m"
"1985-05-13",6902,17460,"indv./m2","0_43m"
"1985-05-13",6904,21000,"indv./m2","0_43m"
"1985-05-13",6905,18060,"indv./m2","0_43m"
"1985-05-13",6906,10270,"indv./m2","0_43m"
"1985-05-13",6914,18760,"indv./m2","0_43m"
"1985-05-13",7002,89100,"indv./m2","0_43m"
"1985-05-13",7003,16970,"indv./m2","0_43m"
"1985-05-13",7004,14970,"indv./m2","0_43m"
"1985-05-13",7005,8700,"indv./m2","0_43m"
"1985-05-13",7006,457800,"indv./m2","0_43m"
"1985-05-13",7007,466000,"indv./m2","0_43m"
"1985-05-13",7009,6710,"indv./m2","0_43m"
"1985-05-13",7010,174700,"indv./m2","0_43m"
"1985-05-13",7022,998000,"indv./m2","0_43m"
"1985-05-13",7023,73200,"indv./m2","0_43m"
"1985-05-13",7024,27000,"indv./m2","0_43m"
"1985-05-13",7027,47800,"indv./m2","0_43m"
"1985-05-13",7028,1690,"indv./m2","0_43m"
"1985-05-13",7701,1230,"indv./m2","0_43m"
"1985-05-28",6003,47790,"indv./m2","0_43m"
"1985-05-28",6517,265700,"indv./m2","0_43m"
"1985-05-28",6518,68900,"indv./m2","0_43m"
"1985-05-28",6542,1001,"indv./m2","0_43m"
"1985-05-28",6552,117400,"indv./m2","0_43m"
"1985-05-28",6902,13000,"indv./m2","0_43m"
"1985-05-28",6904,7680,"indv./m2","0_43m"
"1985-05-28",6905,22810,"indv./m2","0_43m"
"1985-05-28",6906,10400,"indv./m2","0_43m"
"1985-05-28",6914,15350,"indv./m2","0_43m"
"1985-05-28",7002,72000,"indv./m2","0_43m"
"1985-05-28",7003,16450,"indv./m2","0_43m"
"1985-05-28",7004,8390,"indv./m2","0_43m"
"1985-05-28",7005,10230,"indv./m2","0_43m"
"1985-05-28",7006,195400,"indv./m2","0_43m"
"1985-05-28",7007,315000,"indv./m2","0_43m"
"1985-05-28",7009,4680,"indv./m2","0_43m"
"1985-05-28",7010,62400,"indv./m2","0_43m"
"1985-05-28",7022,1032000,"indv./m2","0_43m"
"1985-05-28",7023,40300,"indv./m2","0_43m"
"1985-05-28",7024,12660,"indv./m2","0_43m"
"1985-05-28",7027,29900,"indv./m2","0_43m"
"1985-05-28",7028,16900,"indv./m2","0_43m"
"1985-05-28",7701,660,"indv./m2","0_43m"
"1985-06-10",6003,11980,"indv./m2","0_43m"
"1985-06-10",6517,667000,"indv./m2","0_43m"
"1985-06-10",6518,182000,"indv./m2","0_43m"
"1985-06-10",6527,660,"indv./m2","0_43m"
"1985-06-10",6552,288000,"indv./m2","0_43m"
"1985-06-10",6902,72700,"indv./m2","0_43m"
"1985-06-10",6904,38000,"indv./m2","0_43m"
"1985-06-10",6905,26380,"indv./m2","0_43m"
"1985-06-10",6906,18530,"indv./m2","0_43m"
"1985-06-10",6914,31500,"indv./m2","0_43m"
"1985-06-10",7002,45800,"indv./m2","0_43m"
"1985-06-10",7003,11920,"indv./m2","0_43m"
"1985-06-10",7004,10680,"indv./m2","0_43m"
"1985-06-10",7005,9390,"indv./m2","0_43m"
"1985-06-10",7006,105000,"indv./m2","0_43m"
"1985-06-10",7007,87600,"indv./m2","0_43m"
"1985-06-10",7009,22100,"indv./m2","0_43m"
"1985-06-10",7010,114090,"indv./m2","0_43m"
"1985-06-10",7022,1100000,"indv./m2","0_43m"
"1985-06-10",7023,32500,"indv./m2","0_43m"
"1985-06-10",7024,13760,"indv./m2","0_43m"
"1985-06-10",7027,35430,"indv./m2","0_43m"
"1985-06-10",7028,4680,"indv./m2","0_43m"
"1985-06-10",7701,510,"indv./m2","0_43m"
