"date","id_CH","abundance","unit","depth"
"1985-03-11","103","2100000","indv./L","0_20m"
"1985-03-11","110","42000","indv./L","0_20m"
"1985-03-11","127","240000","indv./L","0_20m"
"1985-03-11","607","16000","indv./L","0_20m"
"1985-03-11","609","10000","indv./L","0_20m"
"1985-03-11","612","460000","indv./L","0_20m"
"1985-03-11","636","5200","indv./L","0_20m"
"1985-03-11","638","26000","indv./L","0_20m"
"1985-03-11","649","10000","indv./L","0_20m"
"1985-03-11","772","5200","indv./L","0_20m"
"1985-03-11","1004","1200000","indv./L","0_20m"
"1985-03-11","1029","170000","indv./L","0_20m"
"1985-03-11","1030","120000","indv./L","0_20m"
"1985-03-11","1243","21000","indv./L","0_20m"
"1985-03-11","1705","31000","indv./L","0_20m"
"1985-03-11","1706","2500","indv./L","0_20m"
"1985-03-11","1718","40","indv./L","0_20m"
"1985-03-11","2001","100000","indv./L","0_20m"
"1985-03-11","2015","600000","indv./L","0_20m"
"1985-03-11","2021","400000","indv./L","0_20m"
"1985-03-11","2601","260000","indv./L","0_20m"
"1985-03-11","2613","21000","indv./L","0_20m"
"1985-03-11","2621","18000","indv./L","0_20m"
"1985-03-11","2907","5200","indv./L","0_20m"
"1985-03-11","2911","9000","indv./L","0_20m"
"1985-03-11","2916","1600000","indv./L","0_20m"
"1985-03-11","2952","250000","indv./L","0_20m"
"1985-03-11","2960","10000","indv./L","0_20m"
"1985-03-11","2978","15000","indv./L","0_20m"
"1985-03-11","2985","24000","indv./L","0_20m"
"1985-03-11","2997","30000","indv./L","0_20m"
"1985-03-11","3003","10000","indv./L","0_20m"
"1985-03-11","3009","2100","indv./L","0_20m"
"1985-03-11","3017","21000","indv./L","0_20m"
"1985-03-11","3101","8600","indv./L","0_20m"
"1985-03-11","3410","19000","indv./L","0_20m"
"1985-03-11","3435","100","indv./L","0_20m"
"1985-03-11","3441","60","indv./L","0_20m"
"1985-03-11","4998","94000","indv./L","0_20m"
"1985-03-11","5512","2","indv./L","0_20m"
"1985-03-11","5599","380","indv./L","0_20m"
"1985-03-11","5708","100","indv./L","0_20m"
"1985-03-11","5903","1200","indv./L","0_20m"
"1985-03-11","5906","40","indv./L","0_20m"
"1985-03-11","5909","40","indv./L","0_20m"
"1985-03-11","5909","26","indv./L","0_20m"
"1985-03-11","5911","20","indv./L","0_20m"
"1985-03-11","6003","6","indv./L","0_20m"
"1985-03-11","6003","40","indv./L","0_20m"
"1985-03-11","6013","10","indv./L","0_20m"
"1985-03-11","6015","700","indv./L","0_20m"
"1985-03-11","6016","26","indv./L","0_20m"
"1985-03-11","6027","54","indv./L","0_20m"
"1985-03-11","6035","16","indv./L","0_20m"
"1985-03-11","6041","10","indv./L","0_20m"
"1985-03-11","6098","14","indv./L","0_20m"
"1985-03-11","6099","240","indv./L","0_20m"
"1985-03-11","6209","6","indv./L","0_20m"
"1985-04-09","337","61000","indv./L","0_20m"
"1985-04-09","607","220000","indv./L","0_20m"
"1985-04-09","612","150000","indv./L","0_20m"
"1985-04-09","629","5000","indv./L","0_20m"
"1985-04-09","1004","280000","indv./L","0_20m"
"1985-04-09","1030","700000","indv./L","0_20m"
"1985-04-09","1207","2000","indv./L","0_20m"
"1985-04-09","1230","2000","indv./L","0_20m"
"1985-04-09","1243","40","indv./L","0_20m"
"1985-04-09","1253","2000","indv./L","0_20m"
"1985-04-09","1276","80","indv./L","0_20m"
"1985-04-09","1277","400","indv./L","0_20m"
"1985-04-09","1404","270000","indv./L","0_20m"
"1985-04-09","1705","5000","indv./L","0_20m"
"1985-04-09","1706","19000","indv./L","0_20m"
"1985-04-09","1740","13000","indv./L","0_20m"
"1985-04-09","2001","150000","indv./L","0_20m"
"1985-04-09","2015","110000","indv./L","0_20m"
"1985-04-09","2021","340000","indv./L","0_20m"
"1985-04-09","2613","6100","indv./L","0_20m"
"1985-04-09","2916","3900000","indv./L","0_20m"
"1985-04-09","2932","480","indv./L","0_20m"
"1985-04-09","2974","180000","indv./L","0_20m"
"1985-04-09","2974","480","indv./L","0_20m"
"1985-04-09","2996","15000","indv./L","0_20m"
"1985-04-09","3004","19000","indv./L","0_20m"
"1985-04-09","3408","560","indv./L","0_20m"
"1985-04-09","4998","370000","indv./L","0_20m"
"1985-04-09","5503","11","indv./L","0_20m"
"1985-04-09","5599","23","indv./L","0_20m"
"1985-04-09","5708","300","indv./L","0_20m"
"1985-04-09","5902","11","indv./L","0_20m"
"1985-04-09","5903","80","indv./L","0_20m"
"1985-04-09","5905","11","indv./L","0_20m"
"1985-04-09","5909","34","indv./L","0_20m"
"1985-04-09","6013","11","indv./L","0_20m"
"1985-04-09","6015","600","indv./L","0_20m"
"1985-04-09","6016","150","indv./L","0_20m"
"1985-04-09","6027","310","indv./L","0_20m"
"1985-04-09","6099","350","indv./L","0_20m"
"1985-04-09","6202","160","indv./L","0_20m"
"1985-04-22","337","390000","indv./L","0_20m"
"1985-04-22","607","5000","indv./L","0_20m"
"1985-04-22","612","240000","indv./L","0_20m"
"1985-04-22","1004","5700","indv./L","0_20m"
"1985-04-22","1030","130000","indv./L","0_20m"
"1985-04-22","1207","1200","indv./L","0_20m"
"1985-04-22","1277","200","indv./L","0_20m"
"1985-04-22","1404","510000","indv./L","0_20m"
"1985-04-22","1705","7500","indv./L","0_20m"
"1985-04-22","1706","44000","indv./L","0_20m"
"1985-04-22","1740","5600","indv./L","0_20m"
"1985-04-22","2001","330000","indv./L","0_20m"
"1985-04-22","2015","500000","indv./L","0_20m"
"1985-04-22","2021","2900000","indv./L","0_20m"
"1985-04-22","2613","2800","indv./L","0_20m"
"1985-04-22","2916","9100000","indv./L","0_20m"
"1985-04-22","2932","280","indv./L","0_20m"
"1985-04-22","2974","730000","indv./L","0_20m"
"1985-04-22","2974","320","indv./L","0_20m"
"1985-04-22","2996","5700","indv./L","0_20m"
"1985-04-22","3004","13000","indv./L","0_20m"
"1985-04-22","3408","400","indv./L","0_20m"
"1985-04-22","3435","80","indv./L","0_20m"
"1985-04-22","4998","510000","indv./L","0_20m"
"1985-04-22","5503","9","indv./L","0_20m"
"1985-04-22","5708","9","indv./L","0_20m"
"1985-04-22","5903","26","indv./L","0_20m"
"1985-04-22","5909","60","indv./L","0_20m"
"1985-04-22","6003","66","indv./L","0_20m"
"1985-04-22","6015","150","indv./L","0_20m"
"1985-04-22","6016","40","indv./L","0_20m"
"1985-04-22","6027","80","indv./L","0_20m"
"1985-04-22","6098","6","indv./L","0_20m"
"1985-04-22","6099","110","indv./L","0_20m"
"1985-04-22","6202","250","indv./L","0_20m"
"1985-05-06","311","3200","indv./L","0_20m"
"1985-05-06","337","42000","indv./L","0_20m"
