"date","id_CH","abundance","unit","depth"
"1985-04-15",1025,170000,"indv./L","0_13m"
"1985-04-15",1030,56000,"indv./L","0_13m"
"1985-04-15",1207,60000,"indv./L","0_13m"
"1985-04-15",1222,4600,"indv./L","0_13m"
"1985-04-15",1224,2200,"indv./L","0_13m"
"1985-04-15",1705,14000,"indv./L","0_13m"
"1985-04-15",1706,30000,"indv./L","0_13m"
"1985-04-15",2001,58000,"indv./L","0_13m"
"1985-04-15",2014,94000,"indv./L","0_13m"
"1985-04-15",2021,72000,"indv./L","0_13m"
"1985-04-15",2025,11000,"indv./L","0_13m"
"1985-04-15",2601,14000,"indv./L","0_13m"
"1985-04-15",2614,640,"indv./L","0_13m"
"1985-04-15",2912,15000,"indv./L","0_13m"
"1985-04-15",2916,4600000,"indv./L","0_13m"
"1985-04-15",2971,8300,"indv./L","0_13m"
"1985-04-15",2972,7000,"indv./L","0_13m"
"1985-04-15",3408,640,"indv./L","0_13m"
"1985-04-15",5001,37000,"indv./L","0_13m"
"1985-04-15",5598,320,"indv./L","0_13m"
"1985-04-15",5599,4700,"indv./L","0_13m"
"1985-04-15",5903,320,"indv./L","0_13m"
"1985-04-15",5905,6,"indv./L","0_13m"
"1985-04-15",6013,8,"indv./L","0_13m"
"1985-04-15",6015,4,"indv./L","0_13m"
"1985-04-15",6016,4,"indv./L","0_13m"
"1985-04-15",6027,84,"indv./L","0_13m"
"1985-04-15",6098,34,"indv./L","0_13m"
"1985-04-15",6099,32,"indv./L","0_13m"
"1985-04-15",612,680000,"indv./L","0_13m"
"1985-04-29",1025,9800,"indv./L","0_13m"
"1985-04-29",1030,1100000,"indv./L","0_13m"
"1985-04-29",1207,6500,"indv./L","0_13m"
"1985-04-29",1222,2400,"indv./L","0_13m"
"1985-04-29",1243,2400,"indv./L","0_13m"
"1985-04-29",1705,86000,"indv./L","0_13m"
"1985-04-29",1706,41000,"indv./L","0_13m"
"1985-04-29",2001,58000,"indv./L","0_13m"
"1985-04-29",2014,760000,"indv./L","0_13m"
"1985-04-29",2021,12000000,"indv./L","0_13m"
"1985-04-29",2399,7400,"indv./L","0_13m"
"1985-04-29",2601,12000,"indv./L","0_13m"
"1985-04-29",2614,1200,"indv./L","0_13m"
"1985-04-29",2916,2000000,"indv./L","0_13m"
"1985-04-29",2972,500000,"indv./L","0_13m"
"1985-04-29",3017,250000,"indv./L","0_13m"
"1985-04-29",3018,250000,"indv./L","0_13m"
"1985-04-29",341,19000,"indv./L","0_13m"
"1985-04-29",5598,840,"indv./L","0_13m"
"1985-04-29",5599,100000,"indv./L","0_13m"
"1985-04-29",5903,500,"indv./L","0_13m"
"1985-04-29",5909,100,"indv./L","0_13m"
"1985-04-29",6004,2,"indv./L","0_13m"
"1985-04-29",6013,6,"indv./L","0_13m"
"1985-04-29",6015,2,"indv./L","0_13m"
"1985-04-29",6027,150,"indv./L","0_13m"
"1985-04-29",6098,34,"indv./L","0_13m"
"1985-04-29",6099,58,"indv./L","0_13m"
"1985-04-29",612,410000,"indv./L","0_13m"
"1985-05-28",1030,460000,"indv./L","0_13m"
"1985-05-28",1222,600,"indv./L","0_13m"
"1985-05-28",1225,3000,"indv./L","0_13m"
"1985-05-28",1705,24000,"indv./L","0_13m"
"1985-05-28",1706,16000,"indv./L","0_13m"
"1985-05-28",1719,80,"indv./L","0_13m"
"1985-05-28",1733,80,"indv./L","0_13m"
"1985-05-28",199,42000,"indv./L","0_13m"
"1985-05-28",2001,19000,"indv./L","0_13m"
"1985-05-28",2014,480000,"indv./L","0_13m"
"1985-05-28",2021,2200000,"indv./L","0_13m"
