"date","id_CH","abundance","unit","depth"
"1986-01-13",6517,60550,"indv./m2","0_65m"
"1986-01-13",6518,30250,"indv./m2","0_65m"
"1986-01-13",6542,122500,"indv./m2","0_65m"
"1986-01-13",6543,40400,"indv./m2","0_65m"
"1986-01-13",6552,128500,"indv./m2","0_65m"
"1986-01-13",6902,96500,"indv./m2","0_65m"
"1986-01-13",6904,208000,"indv./m2","0_65m"
"1986-01-13",6905,29000,"indv./m2","0_65m"
"1986-01-13",6906,31400,"indv./m2","0_65m"
"1986-01-13",7002,27650,"indv./m2","0_65m"
"1986-01-13",7006,72000,"indv./m2","0_65m"
"1986-01-13",7007,3600,"indv./m2","0_65m"
"1986-01-13",7009,46000,"indv./m2","0_65m"
"1986-01-13",7022,465000,"indv./m2","0_65m"
"1986-01-13",7701,5250,"indv./m2","0_65m"
"1986-02-12",6517,24450,"indv./m2","0_65m"
"1986-02-12",6518,57000,"indv./m2","0_65m"
"1986-02-12",6542,83550,"indv./m2","0_65m"
"1986-02-12",6543,97500,"indv./m2","0_65m"
"1986-02-12",6902,119500,"indv./m2","0_65m"
"1986-02-12",6903,252000,"indv./m2","0_65m"
"1986-02-12",6904,127500,"indv./m2","0_65m"
"1986-02-12",6905,28500,"indv./m2","0_65m"
"1986-02-12",6906,25950,"indv./m2","0_65m"
"1986-02-12",7002,4720,"indv./m2","0_65m"
"1986-02-12",7003,3850,"indv./m2","0_65m"
"1986-02-12",7004,870,"indv./m2","0_65m"
"1986-02-12",7005,1800,"indv./m2","0_65m"
"1986-02-12",7006,25050,"indv./m2","0_65m"
"1986-02-12",7007,59000,"indv./m2","0_65m"
"1986-02-12",7022,286500,"indv./m2","0_65m"
"1986-03-17",6517,4800,"indv./m2","0_65m"
"1986-03-17",6518,41500,"indv./m2","0_65m"
"1986-03-17",6542,16050,"indv./m2","0_65m"
"1986-03-17",6543,8450,"indv./m2","0_65m"
"1986-03-17",6902,104500,"indv./m2","0_65m"
"1986-03-17",6903,263000,"indv./m2","0_65m"
"1986-03-17",6904,163500,"indv./m2","0_65m"
"1986-03-17",6905,42500,"indv./m2","0_65m"
"1986-03-17",6906,40000,"indv./m2","0_65m"
"1986-03-17",7002,266800,"indv./m2","0_65m"
"1986-03-17",7003,3870,"indv./m2","0_65m"
"1986-03-17",7004,1820,"indv./m2","0_65m"
"1986-03-17",7006,92700,"indv./m2","0_65m"
"1986-03-17",7007,38500,"indv./m2","0_65m"
"1986-03-17",7022,284000,"indv./m2","0_65m"
"1986-04-07",6517,3800,"indv./m2","0_65m"
"1986-04-07",6518,16300,"indv./m2","0_65m"
"1986-04-07",6542,17300,"indv./m2","0_65m"
"1986-04-07",6543,950,"indv./m2","0_65m"
"1986-04-07",6902,144000,"indv./m2","0_65m"
"1986-04-07",6903,241500,"indv./m2","0_65m"
"1986-04-07",6904,92500,"indv./m2","0_65m"
"1986-04-07",6905,55000,"indv./m2","0_65m"
"1986-04-07",6906,73500,"indv./m2","0_65m"
"1986-04-07",7002,1800,"indv./m2","0_65m"
"1986-04-07",7003,950,"indv./m2","0_65m"
"1986-04-07",7005,950,"indv./m2","0_65m"
"1986-04-07",7006,20750,"indv./m2","0_65m"
"1986-04-07",7007,24450,"indv./m2","0_65m"
"1986-04-07",7009,950,"indv./m2","0_65m"
"1986-04-07",7010,2000,"indv./m2","0_65m"
"1986-04-07",7022,312000,"indv./m2","0_65m"
"1986-05-05",6517,23700,"indv./m2","0_65m"
"1986-05-05",6518,37650,"indv./m2","0_65m"
"1986-05-05",6542,96500,"indv./m2","0_65m"
"1986-05-05",6543,5250,"indv./m2","0_65m"
"1986-05-05",6902,78150,"indv./m2","0_65m"
"1986-05-05",6903,153000,"indv./m2","0_65m"
"1986-05-05",6904,75000,"indv./m2","0_65m"
"1986-05-05",6905,77500,"indv./m2","0_65m"
"1986-05-05",6906,95500,"indv./m2","0_65m"
"1986-05-05",7002,1320,"indv./m2","0_65m"
"1986-05-05",7003,5250,"indv./m2","0_65m"
"1986-05-05",7004,14550,"indv./m2","0_65m"
"1986-05-05",7005,9150,"indv./m2","0_65m"
"1986-05-05",7006,76100,"indv./m2","0_65m"
"1986-05-05",7007,15550,"indv./m2","0_65m"
