date,id_CH,abundance,unit,depth
11/03/1985,103,2100000,indv./L,0_20m
11/03/1985,110,42000,indv./L,0_20m
11/03/1985,127,240000,indv./L,0_20m
11/03/1985,607,16000,indv./L,0_20m
11/03/1985,609,10000,indv./L,0_20m
11/03/1985,612,460000,indv./L,0_20m
11/03/1985,636,5200,indv./L,0_20m
11/03/1985,638,26000,indv./L,0_20m
11/03/1985,649,10000,indv./L,0_20m
11/03/1985,772,5200,indv./L,0_20m
11/03/1985,1004,1200000,indv./L,0_20m
11/03/1985,1029,170000,indv./L,0_20m
11/03/1985,1030,120000,indv./L,0_20m
11/03/1985,1243,21000,indv./L,0_20m
11/03/1985,1705,31000,indv./L,0_20m
11/03/1985,1706,2500,indv./L,0_20m
11/03/1985,1718,40,indv./L,0_20m
11/03/1985,2001,100000,indv./L,0_20m
11/03/1985,2015,600000,indv./L,0_20m
11/03/1985,2021,400000,indv./L,0_20m
11/03/1985,2601,260000,indv./L,0_20m
11/03/1985,2613,21000,indv./L,0_20m
11/03/1985,2621,18000,indv./L,0_20m
11/03/1985,2907,5200,indv./L,0_20m
11/03/1985,2911,9000,indv./L,0_20m
11/03/1985,2916,1600000,indv./L,0_20m
11/03/1985,2952,250000,indv./L,0_20m
11/03/1985,2960,10000,indv./L,0_20m
11/03/1985,2978,15000,indv./L,0_20m
11/03/1985,2985,24000,indv./L,0_20m
11/03/1985,2997,30000,indv./L,0_20m
11/03/1985,3003,10000,indv./L,0_20m
11/03/1985,3009,2100,indv./L,0_20m
11/03/1985,3017,21000,indv./L,0_20m
11/03/1985,3101,8600,indv./L,0_20m
11/03/1985,3410,19000,indv./L,0_20m
11/03/1985,3435,100,indv./L,0_20m
11/03/1985,3441,60,indv./L,0_20m
11/03/1985,4998,94000,indv./L,0_20m
11/03/1985,5512,2,indv./L,0_20m
11/03/1985,5599,380,indv./L,0_20m
11/03/1985,5708,100,indv./L,0_20m
11/03/1985,5903,1200,indv./L,0_20m
11/03/1985,5906,40,indv./L,0_20m
11/03/1985,5909,40,indv./L,0_20m
11/03/1985,5909,26,indv./L,0_20m
11/03/1985,5911,20,indv./L,0_20m
11/03/1985,6003,6,indv./L,0_20m
11/03/1985,6003,40,indv./L,0_20m
11/03/1985,6013,10,indv./L,0_20m
11/03/1985,6015,700,indv./L,0_20m
11/03/1985,6016,26,indv./L,0_20m
11/03/1985,6027,54,indv./L,0_20m
11/03/1985,6035,16,indv./L,0_20m
11/03/1985,6041,10,indv./L,0_20m
11/03/1985,6098,14,indv./L,0_20m
11/03/1985,6099,240,indv./L,0_20m
11/03/1985,6209,6,indv./L,0_20m
09/04/1985,337,61000,indv./L,0_20m
09/04/1985,607,220000,indv./L,0_20m
09/04/1985,612,150000,indv./L,0_20m
09/04/1985,629,5000,indv./L,0_20m
09/04/1985,1004,280000,indv./L,0_20m
09/04/1985,1030,700000,indv./L,0_20m
09/04/1985,1207,2000,indv./L,0_20m
09/04/1985,1230,2000,indv./L,0_20m
09/04/1985,1243,40,indv./L,0_20m
09/04/1985,1253,2000,indv./L,0_20m
09/04/1985,1276,80,indv./L,0_20m
09/04/1985,1277,400,indv./L,0_20m
09/04/1985,1404,270000,indv./L,0_20m
09/04/1985,1705,5000,indv./L,0_20m
09/04/1985,1706,19000,indv./L,0_20m
09/04/1985,1740,13000,indv./L,0_20m
09/04/1985,2001,150000,indv./L,0_20m
09/04/1985,2015,110000,indv./L,0_20m
09/04/1985,2021,340000,indv./L,0_20m
09/04/1985,2613,6100,indv./L,0_20m
09/04/1985,2916,3900000,indv./L,0_20m
09/04/1985,2932,480,indv./L,0_20m
09/04/1985,2974,180000,indv./L,0_20m
09/04/1985,2974,480,indv./L,0_20m
09/04/1985,2996,15000,indv./L,0_20m
09/04/1985,3004,19000,indv./L,0_20m
09/04/1985,3408,560,indv./L,0_20m
09/04/1985,4998,370000,indv./L,0_20m
09/04/1985,5503,11,indv./L,0_20m
09/04/1985,5599,23,indv./L,0_20m
09/04/1985,5708,300,indv./L,0_20m
09/04/1985,5902,11,indv./L,0_20m
09/04/1985,5903,80,indv./L,0_20m
09/04/1985,5905,11,indv./L,0_20m
09/04/1985,5909,34,indv./L,0_20m
09/04/1985,6013,11,indv./L,0_20m
09/04/1985,6015,600,indv./L,0_20m
09/04/1985,6016,150,indv./L,0_20m
09/04/1985,6027,310,indv./L,0_20m
09/04/1985,6099,350,indv./L,0_20m
09/04/1985,6202,160,indv./L,0_20m
22/04/1985,337,390000,indv./L,0_20m
22/04/1985,607,5000,indv./L,0_20m
22/04/1985,612,240000,indv./L,0_20m
22/04/1985,1004,5700,indv./L,0_20m
22/04/1985,1030,130000,indv./L,0_20m
22/04/1985,1207,1200,indv./L,0_20m
22/04/1985,1277,200,indv./L,0_20m
22/04/1985,1404,510000,indv./L,0_20m
22/04/1985,1705,7500,indv./L,0_20m
22/04/1985,1706,44000,indv./L,0_20m
22/04/1985,1740,5600,indv./L,0_20m
22/04/1985,2001,330000,indv./L,0_20m
22/04/1985,2015,500000,indv./L,0_20m
22/04/1985,2021,2900000,indv./L,0_20m
22/04/1985,2613,2800,indv./L,0_20m
22/04/1985,2916,9100000,indv./L,0_20m
22/04/1985,2932,280,indv./L,0_20m
22/04/1985,2974,730000,indv./L,0_20m
22/04/1985,2974,320,indv./L,0_20m
22/04/1985,2996,5700,indv./L,0_20m
22/04/1985,3004,13000,indv./L,0_20m
22/04/1985,3408,400,indv./L,0_20m
22/04/1985,3435,80,indv./L,0_20m
22/04/1985,4998,510000,indv./L,0_20m
22/04/1985,5503,9,indv./L,0_20m
22/04/1985,5708,9,indv./L,0_20m
22/04/1985,5903,26,indv./L,0_20m
22/04/1985,5909,60,indv./L,0_20m
22/04/1985,6003,66,indv./L,0_20m
22/04/1985,6015,150,indv./L,0_20m
22/04/1985,6016,40,indv./L,0_20m
22/04/1985,6027,80,indv./L,0_20m
22/04/1985,6098,6,indv./L,0_20m
22/04/1985,6099,110,indv./L,0_20m
22/04/1985,6202,250,indv./L,0_20m
06/05/1985,311,3200,indv./L,0_20m
06/05/1985,337,42000,indv./L,0_20m
06/05/1985,607,5000,indv./L,0_20m
06/05/1985,612,5000,indv./L,0_20m
06/05/1985,1004,5000,indv./L,0_20m
06/05/1985,1030,280000,indv./L,0_20m
06/05/1985,1207,2000,indv./L,0_20m
06/05/1985,1222,2000,indv./L,0_20m
06/05/1985,1230,840,indv./L,0_20m
06/05/1985,1277,120,indv./L,0_20m
06/05/1985,1404,5000,indv./L,0_20m
06/05/1985,1705,6600,indv./L,0_20m
06/05/1985,1706,30000,indv./L,0_20m
06/05/1985,1740,40,indv./L,0_20m
06/05/1985,2001,80000,indv./L,0_20m
06/05/1985,2015,460000,indv./L,0_20m
06/05/1985,2021,1900000,indv./L,0_20m
06/05/1985,2398,2000,indv./L,0_20m
06/05/1985,2613,9200,indv./L,0_20m
06/05/1985,2916,2000000,indv./L,0_20m
06/05/1985,2932,360,indv./L,0_20m
06/05/1985,2974,530000,indv./L,0_20m
06/05/1985,2974,5000,indv./L,0_20m
06/05/1985,2996,20000,indv./L,0_20m
06/05/1985,3004,6000,indv./L,0_20m
06/05/1985,3408,160,indv./L,0_20m
06/05/1985,4998,250000,indv./L,0_20m
13/05/1985,337,46000,indv./L,0_20m
13/05/1985,607,5000,indv./L,0_20m
13/05/1985,612,56000,indv./L,0_20m
13/05/1985,1004,4700,indv./L,0_20m
13/05/1985,1030,290000,indv./L,0_20m
13/05/1985,1207,200,indv./L,0_20m
13/05/1985,1230,2000,indv./L,0_20m
13/05/1985,1243,17000,indv./L,0_20m
13/05/1985,1253,3000,indv./L,0_20m
13/05/1985,1277,120,indv./L,0_20m
13/05/1985,1404,5000,indv./L,0_20m
13/05/1985,1705,5000,indv./L,0_20m
13/05/1985,1706,11000,indv./L,0_20m
13/05/1985,1722,40,indv./L,0_20m
13/05/1985,2001,20000,indv./L,0_20m
13/05/1985,2015,200000,indv./L,0_20m
13/05/1985,2021,1500000,indv./L,0_20m
13/05/1985,2613,6300,indv./L,0_20m
13/05/1985,2916,5200000,indv./L,0_20m
13/05/1985,2974,420000,indv./L,0_20m
13/05/1985,2974,7400,indv./L,0_20m
13/05/1985,2978,120,indv./L,0_20m
13/05/1985,2996,7900,indv./L,0_20m
13/05/1985,3004,2000,indv./L,0_20m
13/05/1985,3408,240,indv./L,0_20m
13/05/1985,4998,440000,indv./L,0_20m
13/05/1985,5708,8,indv./L,0_20m
13/05/1985,5902,4,indv./L,0_20m
13/05/1985,5903,4,indv./L,0_20m
13/05/1985,6015,120,indv./L,0_20m
13/05/1985,6016,18,indv./L,0_20m
13/05/1985,6027,4,indv./L,0_20m
13/05/1985,6099,66,indv./L,0_20m
20/05/1985,303,3600,indv./L,0_20m
20/05/1985,337,5000,indv./L,0_20m
20/05/1985,607,5000,indv./L,0_20m
20/05/1985,612,55000,indv./L,0_20m
20/05/1985,629,5000,indv./L,0_20m
20/05/1985,1004,17000,indv./L,0_20m
20/05/1985,1030,170000,indv./L,0_20m
20/05/1985,1207,2000,indv./L,0_20m
20/05/1985,1243,110000,indv./L,0_20m
20/05/1985,1253,5000,indv./L,0_20m
20/05/1985,1404,5000,indv./L,0_20m
20/05/1985,1705,2800,indv./L,0_20m
20/05/1985,1706,2400,indv./L,0_20m
20/05/1985,2001,13000,indv./L,0_20m
20/05/1985,2015,89000,indv./L,0_20m
20/05/1985,2021,1600000,indv./L,0_20m
20/05/1985,2398,5000,indv./L,0_20m
20/05/1985,2613,25000,indv./L,0_20m
