"","date","tot_phyto","chrooco","nosto","oscillato","tot_cyanobac","r_chrooco","r_nosto","r_oscillato","r_cyanobac","d_chrooco","d_nosto","d_oscillato","d_cyanobac","NH4_N","NO3_N","PO4_P","temperature","depth","tot_zoo","microzoo","daphniidae","cyclopoida","calanoida","lake"
"1",2009-01-06,50810600,NA,NA,490000,490000,NA,NA,0.00964365703219407,0.00964365703219407,NA,NA,50320600,50320600,NA,0.6,0.0177882352941176,4.73791666666667,"0_85m",982405,598360,35360,97045,214800,"SEM"
"2",1988-03-28,62070800,7e+06,NA,12600000,19600000,0.112774444666413,NA,0.202994000399544,0.315768445065957,55070800,NA,49470800,42470800,0.010625,0.8325,0.115,4.7,"0_85m",270300,113675,6425,46700,99320,"SEM"
"3",2011-02-07,74254500,80000,NA,308000,388000,0.00107737578193914,NA,0.0041478967604657,0.00522527254240484,74174500,NA,73946500,73866500,NA,0.642823529411765,0.0117647058823529,3.65441176470588,"0_85m",587180,263925,5525,86190,216750,"SEM"
"4",2009-02-02,92369450,NA,NA,616000,616000,NA,NA,0.00666887158037641,0.00666887158037641,NA,NA,91753450,91753450,NA,0.6,0.0172411764705882,3.76970588235294,"0_85m",1212675,840405,23145,97970,214470,"SEM"
"5",2012-02-06,110332250,7e+05,NA,2940000,3640000,0.00634447317080908,NA,0.0266467873173981,0.0329912604882072,109632250,NA,107392250,106692250,NA,0.523833333333333,0.0133823529411765,3.79777777777778,"0_85m",2374050,1707990,80750,116960,387600,"SEM"
"6",2005-01-31,132023500,104000,NA,NA,104000,0.000787738546546638,NA,NA,0.000787738546546638,131919500,NA,NA,131919500,NA,0.565235294117647,0.0157823529411765,4.51877777777778,"0_85m",1370570,527470,101300,436650,271580,"SEM"
"7",1988-02-01,135623600,NA,NA,23800000,23800000,NA,NA,0.175485682432851,0.175485682432851,NA,NA,111823600,111823600,NA,0.83625,0.117,4.87058823529412,"0_85m",136520,54000,2435,30070,48435,"SEM"
"8",2009-03-02,142521600,NA,NA,840000,840000,NA,NA,0.00589384345951771,0.00589384345951771,NA,NA,141681600,141681600,NA,0.6,0.0177176470588235,3.65794117647059,"0_85m",1072990,792500,9165,83270,176550,"SEM"
"9",2005-02-28,155681000,48200,49000,16100000,16197200,0.000309607466550189,0.000314746179687952,0.10341660189747,0.104040955543708,155632800,155632000,139581000,139483800,NA,0.561411764705882,0.0150764705882353,4.03183333333333,"0_85m",674950,156020,13040,290940,196230,"SEM"
"10",2010-03-08,158756700,2400000,NA,NA,2400000,0.0151174722074722,NA,NA,0.0151174722074722,156356700,NA,NA,156356700,NA,0.574,0.0104294117647059,3.49323529411765,"0_85m",887655,501500,5525,45305,277100,"SEM"
"11",2010-02-08,177488000,20000,NA,NA,20000,0.000112683674389254,NA,NA,0.000112683674389254,177468000,NA,NA,177468000,NA,0.590647058823529,0.0136588235294118,3.59058823529412,"0_85m",987275,603500,10030,67575,251090,"SEM"
