"date","NH4_N","NO3_N","PO4_P","temperature","depth"
"1985-01-07",NA,NA,NA,4.53529411764706,"0_85m"
"1985-01-21",0.01125,0.779375,0.1428125,3.4,"0_85m"
"1985-02-04",NA,NA,NA,3.375,"0_85m"
"1985-02-18",0.11375,0.706875,0.1394375,3.03529411764706,"0_85m"
"1985-03-04",NA,NA,NA,3.24705882352941,"0_85m"
"1985-03-18",0.01,0.85625,0.1374375,3.25882352941176,"0_85m"
"1985-04-01",NA,NA,NA,NA,"0_85m"
"1985-04-15",0.025,0.750625,0.134,4.57058823529412,"0_85m"
"1985-04-29",NA,NA,NA,5.0625,"0_85m"
"1985-05-13",0.015625,0.695625,0.1268125,5.71176470588235,"0_85m"
"1985-05-28",NA,NA,NA,7.30588235294118,"0_85m"
"1985-06-10",0.029375,0.696875,0.1240625,7.31176470588235,"0_85m"
"1985-06-24",NA,NA,NA,7.98823529411765,"0_85m"
"1985-07-08",0.02125,0.7375,0.12975,8.74705882352941,"0_85m"
"1985-07-22",NA,NA,NA,8.74117647058823,"0_85m"
"1985-08-05",0.008125,0.698,0.131533333333333,9.04705882352941,"0_85m"
"1985-08-19",NA,NA,NA,9.18823529411765,"0_85m"
"1985-09-02",0.010625,0.745,0.1250625,9.37647058823529,"0_85m"
"1985-09-16",NA,NA,NA,8.69411764705882,"0_85m"
"1985-09-30",0.020625,0.67875,0.1321875,8.75882352941177,"0_85m"
"1985-10-14",NA,NA,NA,8.40588235294118,"0_85m"
"1985-10-28",0.011875,0.770625,0.1424375,7.24705882352941,"0_85m"
"1985-11-11",NA,NA,NA,NA,"0_85m"
"1985-11-25",0.0125,0.69,0.14175,5.48823529411765,"0_85m"
"1986-01-06",NA,0.6925,0.153,4.60588235294118,"0_85m"
"1986-02-05",0.0075,0.70625,0.1371875,4,"0_85m"
"1986-03-03",NA,0.75125,0.1429375,3.20588235294118,"0_85m"
"1986-04-01",NA,0.729375,0.1310625,3.9,"0_85m"
"1986-04-28",NA,0.77875,0.1310625,4.6375,"0_85m"
"1986-05-26",0.0225,0.709375,0.11575,7.12941176470588,"0_85m"
"1986-06-23",NA,0.81875,0.124375,8.21176470588235,"0_85m"
"1986-07-21",NA,0.81375,0.137625,8,"0_85m"
"1986-08-18",0.0125,0.803125,0.1318125,8.54705882352941,"0_85m"
"1986-09-15",NA,0.77375,0.099875,8,"0_85m"
"1986-10-13",NA,0.74,0.1274375,7.69411764705882,"0_85m"
"1986-11-10",0.010625,0.738125,0.1271875,6.62941176470588,"0_85m"
"1986-12-08",NA,0.6825,0.1208125,5.45294117647059,"0_85m"
"1987-01-05",NA,0.715625,0.126,4.88823529411765,"0_85m"
"1987-02-05",NA,0.77,0.12375,3.34705882352941,"0_85m"
"1987-03-02",0.013125,0.863125,0.133625,3.42352941176471,"0_85m"
"1987-03-30",NA,0.91625,0.117,3.62352941176471,"0_85m"
"1987-04-27",NA,0.88875,0.1198125,5.28823529411765,"0_85m"
"1987-05-25",0.025,0.7775,0.108125,6.46470588235294,"0_85m"
"1987-06-22",NA,0.86375,0.1154375,7.21764705882353,"0_85m"
"1987-07-20",NA,1.02125,0.114125,8.41764705882353,"0_85m"
"1987-08-17",0.01625,0.750625,0.115125,8.89411764705882,"0_85m"
"1987-09-14",NA,0.87375,0.1403125,8.73529411764706,"0_85m"
"1987-10-13",0.0193333333333333,0.7,0.117333333333333,7.87058823529412,"0_85m"
"1987-11-09",NA,0.851875,0.114,7.03529411764706,"0_85m"
"1987-12-07",NA,0.774375,0.1318125,5.71176470588235,"0_85m"
"1988-01-04",NA,0.810625,0.128,5.26875,"0_85m"
"1988-02-01",NA,0.83625,0.117,4.87058823529412,"0_85m"
"1988-02-29",NA,0.859375,0.121,4.4,"0_85m"
"1988-03-28",0.010625,0.8325,0.115,4.7,"0_85m"
"1988-04-25",NA,0.780625,0.0951875,6.40588235294118,"0_85m"
"1988-05-24",NA,0.74125,0.0964375,7.45294117647059,"0_85m"
"1988-06-20",0.01125,0.78125,0.094625,8.14705882352941,"0_85m"
"1988-07-18",NA,0.746875,0.0955625,8.50588235294118,"0_85m"
"1988-08-15",0.013125,0.634375,0.1075625,9.33529411764706,"0_85m"
"1988-09-12",NA,0.665,0.10825,8.82352941176471,"0_85m"
"1988-10-10",0.010625,0.63,0.1015,8.02352941176471,"0_85m"
"1988-11-07",NA,0.599375,0.0994375,6.85294117647059,"0_85m"
"1988-12-05",NA,0.636875,0.1133125,5.87647058823529,"0_85m"
"1989-01-03",NA,0.68125,0.108875,5.3,"0_85m"
"1989-01-30",NA,0.7025,0.107,4.7,"0_85m"
"1989-02-27",0.008125,0.72875,0.103,4.5,"0_85m"
"1989-03-28",NA,0.636875,0.0971875,5.28235294117647,"0_85m"
"1989-04-24",NA,0.610625,0.0901875,6.09411764705882,"0_85m"
"1989-05-22",0.0175,0.57625,0.0865,8.04117647058824,"0_85m"
"1989-06-19",NA,0.599375,0.094625,8.59411764705882,"0_85m"
"1989-07-17",NA,0.570625,0.095625,9.27058823529412,"0_85m"
"1989-08-14",0.005,0.57625,0.099,9.6,"0_85m"
"1989-09-11",NA,0.585,0.0873125,9.18235294117647,"0_85m"
"1989-10-09",0.005,0.58875,0.0954375,8.25294117647059,"0_85m"
"1989-11-06",NA,0.54625,0.0898125,7.77647058823529,"0_85m"
"1989-12-04",NA,0.63625,0.1098125,6.2,"0_85m"
"1990-01-03",NA,0.64375,0.1,5.47058823529412,"0_85m"
"1990-01-29",NA,0.655625,0.099,4.8,"0_85m"
"1990-02-26",0.00875,0.629375,0.102,5.02352941176471,"0_85m"
"1990-03-26",NA,0.603125,0.091375,5.64117647058823,"0_85m"
"1990-04-23",NA,0.60375,0.089625,5.92941176470588,"0_85m"
"1990-05-21",0.0068125,0.55125,0.0805,8.2,"0_85m"
"1990-06-18",NA,0.61875,0.0851875,8.65882352941176,"0_85m"
"1990-07-16",NA,0.56875,0.0864375,9.32352941176471,"0_85m"
"1990-08-13",NA,0.553125,0.0813125,9.55294117647059,"0_85m"
"1990-09-10",NA,0.535625,0.0909375,9.25294117647059,"0_85m"
"1990-10-08",0.0196875,0.561875,0.0974375,8.74117647058823,"0_85m"
"1990-11-05",NA,0.563125,0.0929375,7.75294117647059,"0_85m"
"1990-12-03",NA,0.670625,0.1043125,6.52352941176471,"0_85m"
