id_CH,ID_ZH,ID_RO,empire,kingdom,phylum,class,order,family,genus,species,stage,affiliation,synonyms,comments,size_category,motility,physiology,colony_growth,foraging_behavior,strategy,foraging_systematics,volume_um.3,surface_um.2,VWS,GRE,HAL,SEM,BAL,BoOber,Unter,WAL,qualifier_as_food,guild,guild.code
5201,,,eukaryota,Protozoa,Amoebozoa,Lobosa,Arcellinida,Arcellidae,Arcella,sp,,,,after Cavallier-Smith et al. 2015,e,d,f,b,j,K,11,50000,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5202,,,eukaryota,Protozoa,Amoebozoa,Discosea,Thecamoebida,Thecamoebidae,,,,,,after Cavallier-Smith et al. 2015,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5250,,,eukaryota,Protozoa,Amoebozoa,,,,Astramoeba,sp,,,,taxonomy vague!,e,d,f,b,j,K,11,5000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5251,,,eukaryota,Protozoa,Amoebozoa,,,,Astramoeba,radiosa,,,,taxonomy vague!,e,d,f,b,j,K,11,5000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5253,,,eukaryota,Protozoa,Amoebozoa,Discosea,Dactylopodida,Paramoebidae,Mayorella,sp,,,,,e,d,f,b,j,K,11,45000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5259,,,eukaryota,Protozoa,Amoebozoa,Tubulinea,Amoebida,Amoebidae,Chaos,sp,,,,taxonomy vague!,e,d,f,b,j,K,11,45000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5299,,,eukaryota,Protozoa,Amoebozoa,,,,Amoebae,,,,,taxonomy vague!,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5400,,,eukaryota,Protozoa,Heliozoa,,,,,,,,,taxonomy vague!,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5401,,,eukaryota,Protozoa,Heliozoa,,,Acanthocistidae,Acanthocystis,sp,,,,taxonomy vague!,f,c,f,b,j,K,11,8500,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5402,,,eukaryota,Protozoa,Heliozoa,,,Acanthocistidae,Acanthocystis,aculeata,,,,taxonomy vague!,e,c,f,b,j,K,11,12500,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5403,,,eukaryota,Protozoa,Heliozoa,,,Actinophyridae,Actinophrys,sp,,,,taxonomy vague!,f,c,f,b,j,K,11,24500,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5404,,,eukaryota,Protozoa,Heliozoa,,,Actinophyridae,Actinophrys,sol,,,,taxonomy vague!,f,c,f,b,j,K,11,24500,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5405,,,eukaryota,Protozoa,Heliozoa,,,Actinosphaeridae,Actinosphaerium,sp,,,,taxonomy vague!,f,c,f,,j,K,11,75000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5406,,,eukaryota,Protozoa,Labyrinthista,Labyrinthulea,Piroplasmida,Heterophyridae,Heterophrys,sp,,,,taxonomy vague!,f,c,f,,j,K,11,38000,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5407,,,eukaryota,Protozoa,Labyrinthista,Labyrinthulea,Piroplasmida,,Heterophrys,myriapoda,,,,taxonomy vague!,f,c,f,,j,K,11,38000,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5408,,ZC0024,eukaryota,Protozoa,Heliozoa,Centrohelea,Centrohelida,Raphidiophryidae,Raphidiophrys,sp,,,,,e,c,f,f,j,K,11,15000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5409,,,eukaryota,Protozoa,Heliozoa,Centrohelea,Centrohelida,Raphidiophryidae,Raphidiophrys,viridis,,,,,e,c,f,f,j,K,11,15000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5499,,,eukaryota,Protozoa,,,,,Heliozoa,,,,,taxonomy vague!,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5501,,,eukaryota,Chromalveolata,Ciliophora,,Holotricha,,Kinetophragminophora,,,,,taxonomy vague!,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,NA
5502,,,eukaryota,Chromalveolata,Ciliophora,Ciliatea,Holotrichia,Holophryidae,Holophrya,sp,,,,taxonomy vague!,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,NA
5503,,,eukaryota,Chromalveolata,Ciliophora,Ciliatea,Rhabdophorina,Tracheliidae,Dileptus,sp,,,,taxonomy vague!,f,a,e,,l,K,13,81000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,Ci2
5504,,ZC0005,eukaryota,Chromalveolata,Ciliophora,Litostomatea,Pleurostomatida,Amphileptidae,Amphileptus,sp,,,,taxonomy vague!,f,a,e,,l,K,13,82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,Ci2
5505,,,eukaryota,Chromalveolata,Ciliophora,Litostomatea,Pleurostomatida,Litonotidae,Litonotus,sp,,,,taxonomy vague!,e,a,e,,l,K,13,13500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,Ci1
5506,,,eukaryota,Chromalveolata,Ciliophora,Spirotricha,Entodiniomorphida,Colpodidae,Colpoda,sp,,,,taxonomy vague!,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,NA
5507,,,eukaryota,Chromalveolata,Ciliophora,Litostomatea,Vestibuliferida,Plagiopylidae,Plagiopyla,sp,,,,taxonomy vague!,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,NA
5508,,,eukaryota,Chromalveolata,Ciliophora,,Holotricha,Nassulidae,Nassula,sp,,,,taxonomy vague!,f,a,e,,i,K,11,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,Ci3
5509,,,eukaryota,Chromalveolata,Ciliophora,,Holotricha,Nassulidae,Nassula,aurea,,,,taxonomy vague!,g,a,e,,i,R,11,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,Ci3
5510,,,eukaryota,Chromalveolata,Ciliophora,Gymnostomatea,Spathidiida,Actinobolinidae,Actinobolina,sp,,,,taxonomy vague!,f,a,e,,l,K,13,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,Ci3
5511,,,eukaryota,Chromalveolata,Ciliophora,Gymnostomatea,Spathidiida,Actinobolinidae,Actinobolina,vorax,,,,taxonomy vague!,f,a,e,,l,K,13,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,Ci3
5512,,,eukaryota,Chromalveolata,Ciliophora,Prostomatea,Prostomatida,Colepidae,Coleps,sp,,,,taxonomy vague!,f,a,e,,i,R,10,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,Ci1
5513,,,eukaryota,Chromalveolata,Ciliophora,Prostomatea,Prostomatida,Colepidae,Coleps,hirtus,,,,taxonomy vague!,f,a,e,,i,R,10,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciliates,Ci1
