"","id_CH","abundance","occurrences","guild","order","genus","species","stage","volume_um.3"
"1","7064",37722593,528,"herbivore cladocerans","Diplostraca","","","eggs",NA
"2","6593",18896234,449,"calanoid copepods","Calanoida","Diaptomus","sp","C1-C3",NA
"3","6594",11760635,449,"calanoid copepods","Calanoida","Diaptomus","sp","C4-C5",NA
"4","6592",2831357,440,"calanoid copepods","Calanoida","Diaptomus","sp","eggs",NA
"5","7042",2980592,434,"cyclopoid copepods","Cyclopoida","Cyclops","sp","eggs",NA
"6","7031",717686,409,"cyclopoid copepods","Cyclopoida","Cyclops","bohater","C1-C3",NA
"7","7032",632423,350,"cyclopoid copepods","Cyclopoida","Cyclops","bohater","C4-C5",NA
"8","7040",62288,270,"cyclopoid copepods","Cyclopoida","Cyclops","bohater","male",NA
"9","6916",12517840,246,"calanoid copepods","Calanoida","Eudiaptomus","gracilis","adult",NA
"10","7059",8919085,214,"cyclopoid copepods","Cyclopoida","Mesocyclops","sp","adult",NA
"11","9003",58932300,200,"cyclopoid copepods","Cyclopoida","","","",NA
"12","7033",2575231,172,"cyclopoid copepods","Cyclopoida","Thermocyclops","sp","male",NA
"13","7057",2483703,168,"cyclopoid copepods","Cyclopoida","Mesocyclops","leuckarti","male",NA
"14","6586",153999,140,"herbivore cladocerans","Diplostraca","Daphnia","sp","male",NA
"15","8004",8352,108,"invertebrate predators","Diptera","Chaoborus","crystallinus","larvae",NA
"16","7063",1451463,107,"cyclopoid copepods","Cyclopoida","Mesocyclops","sp","female",NA
"17","7061",1473040,104,"cyclopoid copepods","Cyclopoida","Mesocyclops","sp","male",NA
"18","9012",54411,104,NA,"","","","",NA
"19","7060",5675515,79,"cyclopoid copepods","Cyclopoida","Mesocyclops","sp","juvenile",NA
"20","7062",96705,48,"cyclopoid copepods","Cyclopoida","Mesocyclops","sp","ovaria",NA
"21","6559",7730,47,"herbivore cladocerans","Diplostraca","Alona","sp","juvenile",NA
"22","7067",10979,34,"cyclopoid copepods","Cyclopoida","Megacyclops","sp","C1-C3",NA
"23","8000",6383,34,NA,"Acari","","","",NA
"24","9014",4374,31,NA,"","","","",NA
"25","7104",2796,28,"cyclopoid copepods","Harpacticoida","Canthocamptus","staphylinus","juvenile",NA
"26","7050",7492,24,"cyclopoid copepods","Cyclopoida","Megacyclops","sp","C4-C5",NA
"27","7052",710,20,"cyclopoid copepods","Cyclopoida","Megacyclops","sp","female",NA
"28","7051",421,15,"cyclopoid copepods","Cyclopoida","Megacyclops","sp","male",NA
"29","8002",315,11,NA,"Diptera","Chironomus","sp","larvae",NA
"30","6564",3181,9,"herbivore cladocerans","Diplostraca","Ceriodaphnia","reticulata","juvenile",NA
"31","7019",226222,9,"cyclopoid copepods","Cyclopoida","Diacyclops","sp","adult",NA
"32","7034",348820,9,"cyclopoid copepods","Cyclopoida","Thermocyclops","sp","female",NA
"33","8001",682,9,NA,"","","","",NA
"34","9018",1219,9,NA,"","","","",NA
"35","9019",881,9,NA,"","","","",NA
"36","6812",556,8,"herbivore cladocerans","Diplostraca","Polyphemus","pediculus","juvenile",NA
"37","7035",614650,8,"cyclopoid copepods","Cyclopoida","Thermocyclops","sp","juvenile",NA
"38","7046",149478,8,"cyclopoid copepods","Cyclopoida","Diacyclops","sp","female",NA
"39","7066",244,8,"cyclopoid copepods","Cyclopoida","Megacyclops","sp","ovaria",NA
"40","9013",198,8,NA,"Oligochaeta","","","",NA
"41","7030",37910,7,"cyclopoid copepods","Cyclopoida","Acanthocyclops","sp","juvenile",NA
"42","7045",57445,7,"cyclopoid copepods","Cyclopoida","Diacyclops","sp","male",NA
"43","9008",349,7,NA,"","","","larvae",NA
"44","6530",3125,5,"herbivore cladocerans","Diplostraca","Eurycercus","sp","",NA
"45","7043",31581,5,"cyclopoid copepods","Cyclopoida","Cyclops","strenuus","female",NA
"46","7053",819,5,"cyclopoid copepods","Cyclopoida","Megacyclops","viridis","C4-C5",NA
"47","7054",131,5,"cyclopoid copepods","Cyclopoida","Megacyclops","viridis","male",NA
"48","6539",257,4,"herbivore cladocerans","Diplostraca","Sida","crystallina","",NA
"49","7055",155,4,"cyclopoid copepods","Cyclopoida","Megacyclops","viridis","ovaria",NA
"50","7056",135,4,"cyclopoid copepods","Cyclopoida","Megacyclops","viridis","female",NA
"51","6531",306,3,"herbivore cladocerans","Diplostraca","Eurycercus","lamellatus","",NA
"52","7047",73,3,"cyclopoid copepods","Cyclopoida","Megacyclops","gigas","C4-C5",NA
"53","9002",44,2,NA,"","","","",NA
"54","6507",110,1,"herbivore cladocerans","Diplostraca","Alonella","sp","",NA
"55","6538",387,1,"herbivore cladocerans","Diplostraca","Scapholeberis","sp","",NA
"56","6540",435,1,"herbivore cladocerans","Diplostraca","Simocephalus","sp","",NA
"57","6566",295,1,"herbivore cladocerans","Diplostraca","Ceriodaphnia","sp","juvenile",NA
"58","6909",19000,1,"calanoid copepods","Calanoida","Eudiaptomus","padanus","male",NA
"59","7016",23220,1,"cyclopoid copepods","Cyclopoida","Macrocyclops","albidus","male",NA
