"","date","id_CH","abundance","unit","depth","phylum","order","family","genus","species","stage","volume_um.3","guild","occurrences","lake"
"1",1997-06-30,6530,435,"indv./m2","0_65m","Arthropoda","Diplostraca","Chydoridae","Eurycercus","sp","",NA,"herbivore cladocerans",1,"BAL"
"2",1996-09-16,6540,435,"indv./m2","0_65m","Arthropoda","Diplostraca","Daphniidae","Simocephalus","sp","",NA,"herbivore cladocerans",1,"BAL"
"3",1988-10-17,6909,19000,"indv./m2","0_65m","Arthropoda","Calanoida","Diaptomidae","Eudiaptomus","padanus","male",NA,"calanoid copepods",1,"BAL"
"4",2006-05-29,7019,750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"5",2006-10-16,7019,900,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"6",2006-11-18,7019,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"7",2007-11-26,7019,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"8",2016-09-12,7019,750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"9",1987-11-16,7030,8700,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Acanthocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
"10",2004-08-23,7031,6050,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"11",2004-09-20,7031,4050,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"12",2004-10-18,7031,2950,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"13",2004-12-15,7031,1005,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"14",2005-05-30,7031,2000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"15",2005-06-27,7031,1000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"16",2005-07-18,7031,1500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"17",2005-08-25,7031,1500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"18",2005-09-19,7031,2250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"19",2005-10-17,7031,1650,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"20",2005-11-14,7031,2850,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"21",2005-12-12,7031,3095,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"22",2006-01-09,7031,375,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"23",2006-02-06,7031,750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"24",2006-05-29,7031,2700,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"25",2006-06-26,7031,3500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"26",2006-10-16,7031,900,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"27",2008-03-10,7031,375,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"28",2008-06-02,7031,3400,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"29",2008-06-30,7031,650,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"30",2010-05-17,7031,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"31",2011-05-16,7031,7100,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"32",2011-06-20,7031,9200,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
