"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"1",2004-01-26,1,7335,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"2",2004-01-26,2,405600,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"3",2004-01-26,15,1014000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"4",2004-02-16,1,585,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"5",2004-02-16,2,566150,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"6",2004-02-16,15,845000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"7",2004-03-08,1,4680,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"8",2004-03-08,2,388700,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"9",2004-04-14,2,523900,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"10",2004-05-18,1,936,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"11",2004-05-18,2,59150,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"12",2004-06-21,15,1126667,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"13",2004-07-19,1,8802,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"14",2004-07-19,2,84500,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"15",2004-07-19,15,6760000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"16",2004-08-16,2,67600,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"17",2004-08-16,15,1690000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"18",2004-09-20,2,270400,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
