"","date","id_CH","abundance","unit","depth","order","genus","species","stage","volume_um.3","guild","occurrences","lake"
"1",1995-09-18,6539,30,"indv./m2","0_30m","Diplostraca","Sida","crystallina","",NA,"herbivore cladocerans",1,"GRE"
"2",2004-01-26,6916,26970,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"3",2004-02-16,6916,54810,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"4",2004-03-08,6916,38910,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"5",2004-04-14,6916,59670,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"6",2004-05-18,6916,39780,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"7",2004-06-21,6916,39780,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"8",2004-07-19,6916,47730,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"9",2004-08-16,6916,33150,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"10",2004-09-20,6916,36480,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"11",2004-10-18,6916,83550,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"12",2004-11-15,6916,26520,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"13",2004-12-13,6916,16920,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"14",2005-01-31,6916,8610,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"15",2005-02-21,6916,23880,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"16",2005-03-15,6916,27840,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"17",2005-04-19,6916,23880,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"18",2005-05-23,6916,20340,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"19",2005-06-20,6916,65190,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"20",2005-07-18,6916,24750,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"21",2005-08-21,6916,38910,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"22",2005-09-19,6916,31830,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"23",2005-10-17,6916,61890,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"24",2005-11-14,6916,57030,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"25",2005-12-12,6916,64980,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"26",2006-02-27,6916,68940,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"27",2006-03-20,6916,90180,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"28",2006-04-18,6916,76920,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"29",2006-05-15,6916,13260,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"30",2006-06-12,6916,76920,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"31",2006-07-10,6916,13260,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"32",2006-08-14,6916,41550,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"33",2006-09-12,6916,74580,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"34",2006-10-16,6916,6630,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"35",2006-11-06,6916,29160,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"36",2006-12-04,6916,40650,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"37",2007-01-22,6916,63660,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"38",2007-02-12,6916,53040,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"39",2007-03-12,6916,31830,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"40",2007-04-10,6916,16590,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"41",2007-05-14,6916,27840,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"42",2007-06-11,6916,30510,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"43",2007-07-09,6916,11940,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
"44",2007-08-06,6916,10620,"indv./m2","0_30m","Calanoida","Eudiaptomus","gracilis","adult",NA,"calanoid copepods",1,"GRE"
