"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"1",1985-11-25,1,10000,"indv./L","0_13m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"HAL"
"2",1985-11-25,2,560000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"3",1985-11-25,3,28000,"indv./L","0_13m","","Siderocapsa","sp",NA,"",NA,1,"Siderocapsa",1,"HAL"
"4",1985-12-16,1,4600000,"indv./L","0_13m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"HAL"
"5",1985-12-16,2,440000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"6",1985-12-16,5,3800000,"indv./L","0_13m","Chromatiales","Thiopedia","rosea",NA,"",NA,10,"Thiopedia rosea",1,"HAL"
"7",1986-01-20,1,3e+05,"indv./L","0_13m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"HAL"
"8",1986-01-20,2,2400000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"9",1986-01-26,1,5e+05,"indv./L","0_13m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"HAL"
"10",1986-01-26,2,2200000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"11",1986-02-03,1,240000,"indv./L","0_13m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"HAL"
"12",1986-02-03,2,1600000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"13",1986-04-01,2,1e+06,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
