"","date","id_CH","abundance","unit","depth","order","genus","species","stage","volume_um.3","guild","occurrences","lake"
"1",1993-09-13,6538,387,"indv./m2","0_43m","Diplostraca","Scapholeberis","sp","",NA,"herbivore cladocerans",1,"HAL"
"2",1989-09-11,7016,23220,"indv./m2","0_43m","Cyclopoida","Macrocyclops","albidus","male",NA,"cyclopoid copepods",1,"HAL"
"3",2007-09-12,7019,220500,"indv./m2","0_43m","Cyclopoida","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"HAL"
"4",2019-10-18,7019,344,"indv./m2","0_43m","Cyclopoida","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"HAL"
"5",2019-11-13,7019,989,"indv./m2","0_43m","Cyclopoida","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"HAL"
"6",2020-05-27,7019,989,"indv./m2","0_43m","Cyclopoida","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"HAL"
"7",2010-08-18,7031,1677,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"8",2010-09-15,7031,1677,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"9",2010-10-13,7031,817,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"10",2011-03-30,7031,1118,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"11",2011-08-17,7031,516,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"12",2012-01-11,7031,559,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"13",2012-05-23,7031,430,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"14",2012-09-12,7031,2064,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"15",2013-01-09,7031,645,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"16",2013-02-20,7031,817,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"17",2013-04-24,7031,430,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"18",2013-07-17,7031,215,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"19",2013-08-14,7031,3741,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"20",2013-09-11,7031,1505,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"21",2013-10-09,7031,3010,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"22",2013-11-07,7031,516,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"23",2013-12-11,7031,731,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"24",2014-01-08,7031,430,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"25",2014-05-21,7031,344,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"26",2014-07-16,7031,344,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"27",2015-01-07,7031,172,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"28",2015-02-18,7031,215,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"29",2015-04-23,7031,688,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"30",2015-05-20,7031,516,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"31",2015-07-15,7031,645,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"32",2015-08-12,7031,989,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"33",2015-09-09,7031,172,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
"34",2015-10-07,7031,1505,"indv./m2","0_43m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"HAL"
