"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"1",1986-03-03,2,690000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"2",1986-04-01,2,1600000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"3",1986-08-18,2,280,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"4",1986-09-15,2,7500,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"5",1986-10-13,2,16000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"6",1986-11-10,2,50000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"7",1986-12-08,2,17000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"8",1986-12-08,3,18000,"indv./L","0_15m","","Siderocapsa","sp",NA,"",NA,1,"Siderocapsa",1,"SEM"
"9",1987-01-05,2,92000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"10",1987-02-02,2,66000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"11",1987-02-02,3,57000,"indv./L","0_15m","","Siderocapsa","sp",NA,"",NA,1,"Siderocapsa",1,"SEM"
"12",1987-03-02,2,14000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"13",1987-03-30,2,27000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"14",1987-04-27,2,41000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"15",1987-04-27,3,6400,"indv./L","0_15m","","Siderocapsa","sp",NA,"",NA,1,"Siderocapsa",1,"SEM"
