"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","mn_cells.per.nu","volume_um.3.1","species_buergi","occurrences","lake"
"1",2002-07-10,209,7.40740740740741,"indv./L","0_135m","Synechococcales","Woronichinia","sp",NA,"",NA,NA,NA,"Woronichinia sp",1,"ZHR"
"2",2007-07-04,209,59.2592592592593,"indv./L","0_135m","Synechococcales","Woronichinia","sp",NA,"",NA,NA,NA,"Woronichinia sp",1,"ZHR"
"3",2019-10-09,209,29.6296296296296,"indv./L","0_135m","Synechococcales","Woronichinia","sp",NA,"",NA,NA,NA,"Woronichinia sp",1,"ZHR"
"4",2002-07-10,214,3.7037037037037,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
"5",2002-09-04,214,5.92592592592593,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
"6",2006-07-10,214,3.7037037037037,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
"7",2006-09-06,214,2.96296296296296,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
"8",2006-10-04,214,74.8148148148148,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
"9",2006-11-08,214,8.88888888888889,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
"10",2006-12-06,214,111.111111111111,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
"11",2007-07-04,214,38.5185185185185,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
"12",2007-10-03,214,6.2962962962963,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
"13",2007-12-05,214,7.40740740740741,"indv./L","0_135m","Synechococcales","Snowella","sp",NA,"",NA,NA,NA,"Snowella sp",1,"ZHR"
