"","id_CH","genus","species","kremer_key","abundance","occurrences","volume_um.3.1","mn_abundance"
"1",209,"Woronichinia","sp","",96.2962962962963,3,NA,32.0987654320988
"2",214,"Snowella","sp","",1684.44444444444,23,NA,73.2367149758454
"3",387,"Komvophoron","minutum","",296.296296296296,1,NA,296.296296296296
"4",388,"Komvophoron","sp","",106170.37037037,91,NA,1166.70736670737
"5",389,"Jaaginema","metaphyticum","",340.74074074074,4,NA,85.1851851851851
"6",395,"Planktolyngbya","sp","",10883.8888888889,27,NA,403.106995884774
"7",397,"Limnothrix","planctonica","",32062.962962963,85,NA,377.211328976035
"8",509,"Limnothrix","sp","",728.518518518519,8,NA,91.0648148148149
"9",1544,"Xanthonema","exile","",135.185185185185,3,NA,45.0617283950617
"10",2812,"Chlamydocapsa","sp","",4385.18518518519,48,NA,91.3580246913581
"11",3072,"Thorakochloris","sp","",62.9629629629629,6,NA,10.4938271604938
"12",3125,"Chlorhormidium","sp","",298.888888888889,5,NA,59.7777777777779
"13",3908,"","","",422.222222222222,1,NA,422.222222222222
