"","id_CH","abundance","occurrences","guild","order","genus","species","stage","volume_um.3"
"1","7064",37722593,528,"herbivore cladocerans","Diplostraca","","","eggs",NA
"2","6593",18896234,449,"calanoid copepods","Calanoida","Diaptomus","sp","C1-C3",NA
"3","6594",11760635,449,"calanoid copepods","Calanoida","Diaptomus","sp","C4-C5",NA
"4","6592",2831357,440,"calanoid copepods","Calanoida","Diaptomus","sp","eggs",NA
"5","6916",12517840,246,"calanoid copepods","Calanoida","Eudiaptomus","gracilis","adult",NA
"6","6586",153999,140,"herbivore cladocerans","Diplostraca","Daphnia","sp","male",NA
"7","8004",8352,108,"invertebrate predators","Diptera","Chaoborus","crystallinus","larvae",NA
"8","9012",54411,104,NA,"","","","",NA
"9","6559",7730,47,"herbivore cladocerans","Diplostraca","Alona","sp","juvenile",NA
"10","8000",6383,34,NA,"Acari","","","",NA
"11","9014",4374,31,NA,"","","","",NA
"12","8002",315,11,NA,"Diptera","Chironomus","sp","larvae",NA
"13","6564",3181,9,"herbivore cladocerans","Diplostraca","Ceriodaphnia","reticulata","juvenile",NA
"14","8001",682,9,NA,"","","","",NA
"15","9018",1219,9,NA,"","","","",NA
"16","9019",881,9,NA,"","","","",NA
"17","6812",556,8,"herbivore cladocerans","Diplostraca","Polyphemus","pediculus","juvenile",NA
"18","9013",198,8,NA,"Oligochaeta","","","",NA
"19","9008",349,7,NA,"","","","larvae",NA
"20","6530",3125,5,"herbivore cladocerans","Diplostraca","Eurycercus","sp","",NA
"21","6539",257,4,"herbivore cladocerans","Diplostraca","Sida","crystallina","",NA
"22","6531",306,3,"herbivore cladocerans","Diplostraca","Eurycercus","lamellatus","",NA
"23","9002",44,2,NA,"","","","",NA
"24","6507",110,1,"herbivore cladocerans","Diplostraca","Alonella","sp","",NA
"25","6538",387,1,"herbivore cladocerans","Diplostraca","Scapholeberis","sp","",NA
"26","6540",435,1,"herbivore cladocerans","Diplostraca","Simocephalus","sp","",NA
"27","6566",295,1,"herbivore cladocerans","Diplostraca","Ceriodaphnia","sp","juvenile",NA
"28","6909",19000,1,"calanoid copepods","Calanoida","Eudiaptomus","padanus","male",NA
